College_Name,Year,AICTE_Approval_Score,UGC_Rating,NIRF_Rank,Placement_Percentage,Faculty_Student_Ratio,Research_Projects,Infrastructure_Score,Student_Satisfaction_Score,Final_Performance_Index
Delhi Technological University,2023,83.34,7.86,37,80.95,11.5,27,85.73,81.17,80.73
Netaji Subhas University of Technology,2019,79.67,7.23,53,74.89,13.3,19,81.56,76.45,77.12
Netaji Subhas University of Technology,2020,77.17,7.03,57,71.89,13.1,16,78.56,73.45,74.37
Netaji Subhas University of Technology,2021,77.67,7.13,55,73.39,13.2,18,79.06,73.95,75.12
Netaji Subhas University of Technology,2022,80.17,7.43,51,75.89,12.9,20,80.56,76.45,76.87
Netaji Subhas University of Technology,2023,80.67,7.53,49,77.39,12.7,22,82.06,77.95,77.62
Guru Gobind Singh Indraprastha University,2019,76.45,6.89,68,71.67,14.1,16,78.89,73.23,74.89
Guru Gobind Singh Indraprastha University,2020,73.95,6.69,72,68.67,13.9,13,75.89,70.23,72.14
Guru Gobind Singh Indraprastha University,2021,74.45,6.79,70,70.17,14.0,15,76.39,70.73,72.89
Guru Gobind Singh Indraprastha University,2022,76.95,7.09,66,72.67,13.7,17,77.89,73.23,74.64
Guru Gobind Singh Indraprastha University,2023,77.45,7.19,64,74.17,13.5,19,79.39,74.73,75.39
Jamia Millia Islamia,2019,78.23,7.12,58,73.45,13.6,18,80.67,75.89,76.45
Jamia Millia Islamia,2020,75.73,6.92,62,70.45,13.4,15,77.67,72.89,73.70
Jamia Millia Islamia,2021,76.23,7.02,60,71.95,13.5,17,78.17,73.39,74.45
Jamia Millia Islamia,2022,78.73,7.32,56,74.45,13.2,19,79.67,75.89,76.20
Jamia Millia Islamia,2023,79.23,7.42,54,75.95,13.0,21,81.17,77.39,76.95
Aligarh Muslim University,2019,77.89,7.06,61,72.78,13.8,17,80.23,75.45,76.12
Aligarh Muslim University,2020,75.39,6.86,65,69.78,13.6,14,77.23,72.45,73.37
Aligarh Muslim University,2021,75.89,6.96,63,71.28,13.7,16,77.73,72.95,74.12
Aligarh Muslim University,2022,78.39,7.26,59,73.78,13.4,18,79.23,75.45,75.87
Aligarh Muslim University,2023,78.89,7.36,57,75.28,13.2,20,80.73,76.95,76.62
Banaras Hindu University,2019,81.67,7.51,46,77.34,12.6,22,84.45,78.67,79.23
Banaras Hindu University,2020,79.17,7.31,50,74.34,12.4,19,81.45,75.67,76.48
Banaras Hindu University,2021,79.67,7.41,48,75.84,12.5,21,81.95,76.17,77.23
Banaras Hindu University,2022,82.17,7.71,44,78.34,12.2,23,83.45,78.67,78.98
Banaras Hindu University,2023,82.67,7.81,42,79.84,12.0,25,84.95,80.17,79.73
Jawaharlal Nehru University,2019,80.34,7.43,48,76.12,12.8,21,83.78,77.89,78.89
Jawaharlal Nehru University,2020,77.84,7.23,52,73.12,12.6,18,80.78,74.89,76.14
Jawaharlal Nehru University,2021,78.34,7.33,50,74.62,12.7,20,81.28,75.39,76.89
Jawaharlal Nehru University,2022,80.84,7.63,46,77.12,12.4,22,82.78,77.89,78.64
Jawaharlal Nehru University,2023,81.34,7.73,44,78.62,12.2,24,84.28,79.39,79.39
University of Delhi,2019,79.78,7.34,51,75.23,13.1,20,82.45,76.78,77.56
University of Delhi,2020,77.28,7.14,55,72.23,12.9,17,79.45,73.78,74.81
University of Delhi,2021,77.78,7.24,53,73.73,13.0,19,79.95,74.28,75.56
University of Delhi,2022,80.28,7.54,49,76.23,12.7,21,81.45,76.78,77.31
University of Delhi,2023,80.78,7.64,47,77.73,12.5,23,82.95,78.28,78.06
Pune University,2019,76.12,6.87,69,71.45,14.3,15,78.67,73.89,74.23
Pune University,2020,73.62,6.67,73,68.45,14.1,12,75.67,70.89,71.48
Pune University,2021,74.12,6.77,71,69.95,14.2,14,76.17,71.39,72.23
Pune University,2022,76.62,7.07,67,72.45,13.9,16,77.67,73.89,73.98
Pune University,2023,77.12,7.17,65,73.95,13.7,18,79.17,75.39,74.73
Mumbai University,2019,75.67,6.92,66,70.89,14.4,16,78.23,73.45,74.67
Mumbai University,2020,73.17,6.72,70,67.89,14.2,13,75.23,70.45,71.92
Mumbai University,2021,73.67,6.82,68,69.39,14.3,15,75.73,70.95,72.67
Mumbai University,2022,76.17,7.12,64,71.89,14.0,17,77.23,73.45,74.42
Mumbai University,2023,76.67,7.22,62,73.39,13.8,19,78.73,74.95,75.17
Chennai University,2019,77.34,7.08,57,72.67,13.5,18,80.45,75.23,75.89
Chennai University,2020,74.84,6.88,61,69.67,13.3,15,77.45,72.23,73.14
Chennai University,2021,75.34,6.98,59,71.17,13.4,17,77.95,72.73,73.89
Chennai University,2022,77.84,7.28,55,73.67,13.1,19,79.45,75.23,75.64
Chennai University,2023,78.34,7.38,53,75.17,12.9,21,80.95,76.73,76.39
Bangalore University,2019,78.89,7.21,54,74.45,13.2,19,81.67,76.89,77.12
Bangalore University,2020,76.39,7.01,58,71.45,13.0,16,78.67,73.89,74.37
Bangalore University,2021,76.89,7.11,56,72.95,13.1,18,79.17,74.39,75.12
Bangalore University,2022,79.39,7.41,52,75.45,12.8,20,80.67,76.89,76.87
Bangalore University,2023,79.89,7.51,50,76.95,12.6,22,82.17,78.39,77.62
Hyderabad University,2019,80.23,7.41,49,76.78,12.7,21,83.45,78.23,78.45
Hyderabad University,2020,77.73,7.21,53,73.78,12.5,18,80.45,75.23,75.70
Hyderabad University,2021,78.23,7.31,51,75.28,12.6,20,80.95,75.73,76.45
Hyderabad University,2022,80.73,7.61,47,77.78,12.3,22,82.45,78.23,78.20
Hyderabad University,2023,81.23,7.71,45,79.28,12.1,24,83.95,79.73,78.95
Kolkata University,2019,74.56,6.78,75,69.34,14.8,14,77.89,72.67,73.23
Kolkata University,2020,72.06,6.58,79,66.34,14.6,11,74.89,69.67,70.48
Kolkata University,2021,72.56,6.68,77,67.84,14.7,13,75.39,70.17,71.23
Kolkata University,2022,75.06,6.98,73,70.34,14.4,15,76.89,72.67,72.98
Kolkata University,2023,75.56,7.08,71,71.84,14.2,17,78.39,74.17,73.73
Ahmedabad University,2019,76.78,6.95,64,71.89,14.0,17,79.23,74.45,75.12
Ahmedabad University,2020,74.28,6.75,68,68.89,13.8,14,76.23,71.45,72.37
Ahmedabad University,2021,74.78,6.85,66,70.39,13.9,16,76.73,71.95,73.12
Ahmedabad University,2022,77.28,7.15,62,72.89,13.6,18,78.23,74.45,74.87
Ahmedabad University,2023,77.78,7.25,60,74.39,13.4,20,79.73,75.95,75.62
Jaipur University,2019,73.45,6.67,81,68.23,15.2,13,76.78,71.89,72.89
Jaipur University,2020,70.95,6.47,85,65.23,15.0,10,73.78,68.89,70.14
Jaipur University,2021,71.45,6.57,83,66.73,15.1,12,74.28,69.39,70.89
Jaipur University,2022,73.95,6.87,79,69.23,14.8,14,75.78,71.89,72.64
Jaipur University,2023,74.45,6.97,77,70.73,14.6,16,77.28,73.39,73.39
Lucknow University,2019,72.89,6.45,86,67.45,15.5,12,75.67,70.23,71.67
Lucknow University,2020,70.39,6.25,90,64.45,15.3,9,72.67,67.23,68.92
Lucknow University,2021,70.89,6.35,88,65.95,15.4,11,73.17,67.73,69.67
Lucknow University,2022,73.39,6.65,84,68.45,15.1,13,74.67,70.23,71.42
Lucknow University,2023,73.89,6.75,82,69.95,14.9,15,76.17,71.73,72.17
Chandigarh University,2019,75.23,6.83,72,70.67,14.1,16,78.45,73.89,74.45
Chandigarh University,2020,72.73,6.63,76,67.67,13.9,13,75.45,70.89,71.70
Chandigarh University,2021,73.23,6.73,74,69.17,14.0,15,75.95,71.39,72.45
Chandigarh University,2022,75.73,7.03,70,71.67,13.7,17,77.45,73.89,74.20
Chandigarh University,2023,76.23,7.13,68,73.17,13.5,19,78.95,75.39,74.95
Thapar Institute of Engineering and Technology,2019,79.67,7.29,50,75.34,12.9,20,82.23,77.67,77.89
Thapar Institute of Engineering and Technology,2020,77.17,7.09,54,72.34,12.7,17,79.23,74.67,75.14
Thapar Institute of Engineering and Technology,2021,77.67,7.19,52,73.84,12.8,19,79.73,75.17,75.89
Thapar Institute of Engineering and Technology,2022,80.17,7.49,48,76.34,12.5,21,81.23,77.67,77.64
Thapar Institute of Engineering and Technology,2023,80.67,7.59,46,77.84,12.3,23,82.73,79.17,78.39
Shiv Nadar University,2019,81.34,7.52,44,77.89,12.4,23,84.67,79.23,79.67
Shiv Nadar University,2020,78.84,7.32,48,74.89,12.2,20,81.67,76.23,76.92
Shiv Nadar University,2021,79.34,7.42,46,76.39,12.3,22,82.17,76.73,77.67
Shiv Nadar University,2022,81.84,7.72,42,78.89,12.0,24,83.67,79.23,79.42
Shiv Nadar University,2023,82.34,7.82,40,80.39,11.8,26,85.17,80.73,80.17
Ashoka University,2019,80.78,7.47,45,76.67,12.5,22,83.89,78.45,79.23
Ashoka University,2020,78.28,7.27,49,73.67,12.3,19,80.89,75.45,76.48
Ashoka University,2021,78.78,7.37,47,75.17,12.4,21,81.39,75.95,77.23
Ashoka University,2022,81.28,7.67,43,77.67,12.1,23,82.89,78.45,78.98
Ashoka University,2023,81.78,7.77,41,79.17,11.9,25,84.39,79.95,79.73
O.P. Jindal Global University,2019,78.45,7.18,55,74.23,13.3,19,81.23,76.89,77.45
O.P. Jindal Global University,2020,75.95,6.98,59,71.23,13.1,16,78.23,73.89,74.70
O.P. Jindal Global University,2021,76.45,7.08,57,72.73,13.2,18,78.73,74.39,75.45
O.P. Jindal Global University,2022,78.95,7.38,53,75.23,12.9,20,80.23,76.89,77.20
O.P. Jindal Global University,2023,79.45,7.48,51,76.73,12.7,22,81.73,78.39,77.95
Bennett University,2019,76.89,7.02,62,72.45,13.8,17,79.67,75.23,75.89
Bennett University,2020,74.39,6.82,66,69.45,13.6,14,76.67,72.23,73.14
Bennett University,2021,74.89,6.92,64,70.95,13.7,16,77.17,72.73,73.89
Bennett University,2022,77.39,7.22,60,73.45,13.4,18,78.67,75.23,75.64
Bennett University,2023,77.89,7.32,58,74.95,13.2,20,80.17,76.73,76.39
Plaksha University,2019,83.67,7.78,33,79.56,11.1,28,86.45,81.89,82.23
Plaksha University,2020,81.17,7.58,37,76.56,10.9,25,83.45,78.89,79.48
Plaksha University,2021,81.67,7.68,35,78.06,11.0,27,83.95,79.39,80.23
Plaksha University,2022,84.17,7.98,31,80.56,10.7,29,85.45,81.89,81.98
Plaksha University,2023,84.67,8.08,29,82.06,10.5,31,86.95,83.39,82.73
IIIT Hyderabad,2019,89.23,8.56,19,87.34,9.7,33,93.78,87.45,87.89
IIIT Hyderabad,2020,86.73,8.36,23,84.34,9.5,30,90.78,84.45,85.14
IIIT Hyderabad,2021,87.23,8.46,21,85.84,9.6,32,91.28,84.95,85.89
IIIT Hyderabad,2022,89.73,8.76,17,88.34,9.3,34,92.78,87.45,87.64
IIIT Hyderabad,2023,90.23,8.86,15,89.84,9.1,36,94.28,88.95,88.39
IIIT Bangalore,2019,86.45,8.12,27,83.67,10.8,29,90.34,84.23,85.12
IIIT Bangalore,2020,83.95,7.92,31,80.67,10.6,26,87.34,81.23,82.37
IIIT Bangalore,2021,84.45,8.02,29,82.17,10.7,28,87.84,81.73,83.12
IIIT Bangalore,2022,86.95,8.32,25,84.67,10.4,30,89.34,84.23,84.87
IIIT Bangalore,2023,87.45,8.42,23,86.17,10.2,32,90.84,85.73,85.62
